"folio","edad","sexo","educacion","cse","n_personas","macrozona","prob_gastar_comida_fuera","gasto_cond_comida_fuera","gasto_esp_comida_fuera"
100170101,56,"1","6","2",5,NA,NA,89725.4335691707,NA
100170301,81,"1",NA,"2",2,NA,NA,89725.4335691707,NA
100170401,60,"1","5","2",2,NA,NA,89725.4335691707,NA
100170601,52,"2","6","2",1,NA,NA,89725.4335691707,NA
100170602,29,"2","6","2",2,NA,NA,89725.4335691707,NA
100170801,35,"2","4","2",1,NA,NA,89725.4335691707,NA
100210101,69,"2","6","2",1,NA,NA,89725.4335691707,NA
100210201,39,"1","11","2",4,NA,NA,89725.4335691707,NA
100210401,67,"2","3","2",3,NA,NA,89725.4335691707,NA
100210501,45,"2","8","2",4,NA,NA,89725.4335691707,NA
100210601,68,"1","6","2",5,NA,NA,89725.4335691707,NA
100210701,65,"1","8","2",4,NA,NA,89725.4335691707,NA
100210801,50,"2","8","2",4,NA,NA,89725.4335691707,NA
100330101,47,"2","11",NA,6,NA,NA,89725.4335691707,NA
100330201,65,"1","8",NA,3,NA,NA,89725.4335691707,NA
100330401,62,"2",NA,NA,1,NA,NA,89725.4335691707,NA
100330501,63,"1","5",NA,5,NA,NA,89725.4335691707,NA
100330601,39,"1","7",NA,2,NA,NA,89725.4335691707,NA
100330701,50,"1","11",NA,2,NA,NA,89725.4335691707,NA
100330901,63,"1","11",NA,5,NA,NA,89725.4335691707,NA
100340101,59,"2","5","3",2,NA,NA,89725.4335691707,NA
100340102,26,"2","7","3",2,NA,NA,89725.4335691707,NA
100340201,65,"2","4","3",1,NA,NA,89725.4335691707,NA
100340301,44,"2","1","3",2,NA,NA,89725.4335691707,NA
100340501,68,"1","5","3",6,NA,NA,89725.4335691707,NA
100340701,74,"1","1","3",1,NA,NA,89725.4335691707,NA
100370101,69,"2","9",NA,2,NA,NA,89725.4335691707,NA
100490101,35,"2","6","1",4,NA,NA,89725.4335691707,NA
100490201,29,"2","6","1",4,NA,NA,89725.4335691707,NA
100490401,65,"2","3","1",2,NA,NA,89725.4335691707,NA
100490501,60,"2","5","1",12,NA,NA,89725.4335691707,NA
100490601,31,"2","6","1",6,NA,NA,89725.4335691707,NA
100490701,59,"2","5","1",4,NA,NA,89725.4335691707,NA
100490801,56,"1","11","1",1,NA,NA,89725.4335691707,NA
100590101,81,"1","1",NA,4,NA,NA,89725.4335691707,NA
100590201,42,"2","1",NA,4,NA,NA,89725.4335691707,NA
100590301,80,"1","11",NA,2,NA,NA,89725.4335691707,NA
100590401,38,"1","5",NA,3,NA,NA,89725.4335691707,NA
100590501,24,"2","9",NA,5,NA,NA,89725.4335691707,NA
100590601,21,"1","5",NA,2,NA,NA,89725.4335691707,NA
100590801,45,"2","8",NA,4,NA,NA,89725.4335691707,NA
100590901,51,"2","7",NA,5,NA,NA,89725.4335691707,NA
100591001,58,"2","3",NA,2,NA,NA,89725.4335691707,NA
100680301,48,"1","5",NA,3,NA,NA,89725.4335691707,NA
100680401,52,"1","11",NA,4,NA,NA,89725.4335691707,NA
100680501,44,"2","9",NA,2,NA,NA,89725.4335691707,NA
100740101,61,"2","8",NA,1,NA,NA,89725.4335691707,NA
100740301,60,"1","11",NA,1,NA,NA,89725.4335691707,NA
100740401,42,"2","11",NA,2,NA,NA,89725.4335691707,NA
100740501,55,"2","6",NA,3,NA,NA,89725.4335691707,NA
100740601,60,"2","5",NA,4,NA,NA,89725.4335691707,NA
100740701,44,"2","5",NA,2,NA,NA,89725.4335691707,NA
100740801,51,"2","11",NA,2,NA,NA,89725.4335691707,NA
100910101,61,"1","5","2",4,NA,NA,89725.4335691707,NA
100910201,59,"1",NA,"2",3,NA,NA,89725.4335691707,NA
100910301,42,"2","11","2",3,NA,NA,89725.4335691707,NA
100910401,31,"2","3","2",3,NA,NA,89725.4335691707,NA
100910801,39,"1","4","2",4,NA,NA,89725.4335691707,NA
100990101,33,"2","8","3",1,NA,NA,89725.4335691707,NA
100990501,48,"2","11","3",3,NA,NA,89725.4335691707,NA
100990601,35,"2","5","3",3,NA,NA,89725.4335691707,NA
100990801,37,"1","9","3",4,NA,NA,89725.4335691707,NA
101120101,45,"1","11","2",3,NA,NA,89725.4335691707,NA
101120401,37,"1","12","2",3,NA,NA,89725.4335691707,NA
101120501,50,"1","11","2",4,NA,NA,89725.4335691707,NA
101120601,68,"2","11","2",2,NA,NA,89725.4335691707,NA
101120701,58,"1","8","2",2,NA,NA,89725.4335691707,NA
101260801,49,"2","12","3",3,NA,NA,89725.4335691707,NA
101300101,43,"2","11","2",1,NA,NA,89725.4335691707,NA
101300201,48,"1","12","2",1,NA,NA,89725.4335691707,NA
101300301,36,"1","11","2",1,NA,NA,89725.4335691707,NA
101300601,46,"2","5","2",3,NA,NA,89725.4335691707,NA
101420101,72,"1","5","2",3,NA,NA,89725.4335691707,NA
101420201,56,"1","1","2",3,NA,NA,89725.4335691707,NA
101420401,46,"1","11","2",3,NA,NA,89725.4335691707,NA
101420501,80,"1",NA,"2",1,NA,NA,89725.4335691707,NA
101420601,39,"1","6","2",5,NA,NA,89725.4335691707,NA
101420701,45,"1",NA,"2",1,NA,NA,89725.4335691707,NA
101420801,70,"2","1","2",4,NA,NA,89725.4335691707,NA
101480101,46,"2","11","3",3,NA,NA,89725.4335691707,NA
101480201,34,"1","12","3",6,NA,NA,89725.4335691707,NA
101480401,50,"1","11","3",1,NA,NA,89725.4335691707,NA
101600801,40,"1","8","3",4,NA,NA,89725.4335691707,NA
101640101,61,"1","11","3",3,NA,NA,89725.4335691707,NA
101650301,29,"1","6",NA,4,NA,NA,89725.4335691707,NA
101650401,31,"2","7",NA,3,NA,NA,89725.4335691707,NA
101700101,55,"2","8",NA,2,NA,NA,89725.4335691707,NA
101700201,55,"2","5",NA,2,NA,NA,89725.4335691707,NA
101740201,53,"1","12","3",6,NA,NA,89725.4335691707,NA
101740401,62,"1","12","3",5,NA,NA,89725.4335691707,NA
101740701,54,"2","11","3",1,NA,NA,89725.4335691707,NA
102130201,27,"1","6",NA,3,NA,NA,89725.4335691707,NA
102130301,64,"1",NA,NA,2,NA,NA,89725.4335691707,NA
102130501,37,"1","5",NA,3,NA,NA,89725.4335691707,NA
102130601,55,"2","6",NA,4,NA,NA,89725.4335691707,NA
102250101,34,"1","11",NA,3,NA,NA,89725.4335691707,NA
102250201,25,"1","9",NA,2,NA,NA,89725.4335691707,NA
102250301,24,"1","11",NA,2,NA,NA,89725.4335691707,NA
102250401,33,"1","11",NA,2,NA,NA,89725.4335691707,NA
102250501,45,"1","11",NA,1,NA,NA,89725.4335691707,NA
102250701,33,"2","11",NA,1,NA,NA,89725.4335691707,NA
102270101,52,"2",NA,"2",2,NA,NA,89725.4335691707,NA
102270201,50,"1","11","2",3,NA,NA,89725.4335691707,NA
102270401,64,"1","3","2",2,NA,NA,89725.4335691707,NA
102270501,62,"2","1","2",4,NA,NA,89725.4335691707,NA
102270601,61,"2","4","2",4,NA,NA,89725.4335691707,NA
102280501,34,"1","12","3",4,NA,NA,89725.4335691707,NA
102400201,64,"2","5",NA,3,NA,NA,89725.4335691707,NA
102550101,39,"2","11","3",4,NA,NA,89725.4335691707,NA
102550501,54,"2","11","3",4,NA,NA,89725.4335691707,NA
102590301,40,"2","8",NA,1,NA,NA,89725.4335691707,NA
102590401,55,"1","5",NA,2,NA,NA,89725.4335691707,NA
102590801,40,"2","9",NA,4,NA,NA,89725.4335691707,NA
102830101,48,"1","12",NA,2,NA,NA,89725.4335691707,NA
102830201,64,"2","6",NA,3,NA,NA,89725.4335691707,NA
102830301,42,"1","12",NA,4,NA,NA,89725.4335691707,NA
102830401,34,"2","11",NA,1,NA,NA,89725.4335691707,NA
102830701,61,"1","10",NA,2,NA,NA,89725.4335691707,NA
102830801,57,"2","11",NA,4,NA,NA,89725.4335691707,NA
103040201,65,"2","3",NA,7,NA,NA,89725.4335691707,NA
103040501,45,"2","9",NA,2,NA,NA,89725.4335691707,NA
103040701,76,"2","4",NA,2,NA,NA,89725.4335691707,NA
103040801,38,"2","11",NA,4,NA,NA,89725.4335691707,NA
103440401,66,"1",NA,"2",2,NA,NA,89725.4335691707,NA
103440501,93,"2","3","2",2,NA,NA,89725.4335691707,NA
103440601,53,"1","5","2",3,NA,NA,89725.4335691707,NA
103580101,37,"1","11","2",4,NA,NA,89725.4335691707,NA
103580301,65,"2","5","2",1,NA,NA,89725.4335691707,NA
103580601,63,"2","11","2",6,NA,NA,89725.4335691707,NA
103580701,39,"2","8","2",4,NA,NA,89725.4335691707,NA
103850201,29,"2","5",NA,5,NA,NA,89725.4335691707,NA
103850301,59,"2",NA,NA,4,NA,NA,89725.4335691707,NA
103850401,55,"2","5",NA,3,NA,NA,89725.4335691707,NA
103850501,50,"2","5",NA,4,NA,NA,89725.4335691707,NA
103850601,52,"1","6",NA,4,NA,NA,89725.4335691707,NA
103850701,22,"1","5",NA,1,NA,NA,89725.4335691707,NA
103850801,62,"2","3",NA,1,NA,NA,89725.4335691707,NA
103920101,27,"1","7",NA,1,NA,NA,89725.4335691707,NA
103920601,37,"1","11",NA,1,NA,NA,89725.4335691707,NA
104050101,38,"1","8","3",2,NA,NA,89725.4335691707,NA
104050201,54,"1","6","3",5,NA,NA,89725.4335691707,NA
104050301,63,"2","4","3",2,NA,NA,89725.4335691707,NA
104050401,32,"2","8","3",4,NA,NA,89725.4335691707,NA
104050501,69,"2","12","3",2,NA,NA,89725.4335691707,NA
104050601,74,"2",NA,"3",2,NA,NA,89725.4335691707,NA
104050701,60,"2","5","3",1,NA,NA,89725.4335691707,NA
104170101,56,"1","1",NA,4,NA,NA,89725.4335691707,NA
104170401,37,"2","5",NA,4,NA,NA,89725.4335691707,NA
104170701,63,"1","1",NA,2,NA,NA,89725.4335691707,NA
104170801,55,"2","3",NA,2,NA,NA,89725.4335691707,NA
104280101,65,"2",NA,"3",2,NA,NA,89725.4335691707,NA
104280201,39,"2","8","3",2,NA,NA,89725.4335691707,NA
104280301,40,"2","11","3",4,NA,NA,89725.4335691707,NA
104280501,90,"1",NA,"3",1,NA,NA,89725.4335691707,NA
104280801,77,"2","3","3",2,NA,NA,89725.4335691707,NA
104320401,73,"2","5",NA,2,NA,NA,89725.4335691707,NA
104320701,27,"2","11",NA,2,NA,NA,89725.4335691707,NA
104330101,47,"2","9",NA,3,NA,NA,89725.4335691707,NA
104330501,47,"2","11",NA,6,NA,NA,89725.4335691707,NA
104330701,38,"1","11",NA,1,NA,NA,89725.4335691707,NA
104350101,72,"2","5","3",1,NA,NA,89725.4335691707,NA
104350201,45,"1","11","3",2,NA,NA,89725.4335691707,NA
104350401,86,"2","3","3",1,NA,NA,89725.4335691707,NA
104350501,70,"2","4","3",3,NA,NA,89725.4335691707,NA
104350601,42,"1","9","3",4,NA,NA,89725.4335691707,NA
104350701,42,"2","11","3",3,NA,NA,89725.4335691707,NA
104390201,37,"1","11",NA,1,NA,NA,89725.4335691707,NA
104390701,61,"2","11",NA,2,NA,NA,89725.4335691707,NA
104390801,47,"2","12",NA,1,NA,NA,89725.4335691707,NA
104550601,84,"1","5","2",2,NA,NA,89725.4335691707,NA
104560101,62,"1","5","2",4,NA,NA,89725.4335691707,NA
104560201,74,"1",NA,"2",3,NA,NA,89725.4335691707,NA
104560301,54,"2","5","2",2,NA,NA,89725.4335691707,NA
104560501,67,"1","5","2",1,NA,NA,89725.4335691707,NA
104560601,65,"2",NA,"2",1,NA,NA,89725.4335691707,NA
104560801,62,"1","5","2",3,NA,NA,89725.4335691707,NA
104770101,40,"1","11",NA,3,NA,NA,89725.4335691707,NA
104770201,43,"2","11",NA,2,NA,NA,89725.4335691707,NA
104770301,64,"2","8",NA,2,NA,NA,89725.4335691707,NA
104770701,61,"1","3",NA,3,NA,NA,89725.4335691707,NA
