"geocodigo","oferta_n","oferta_restaurant","oferta_fastfood","oferta_cafe","pob_zona","oferta_x1000hab"
"13101091004",5,1,0,0,2956,1.6914749661705
"13112071006",0,0,0,0,2274,0
"13120011008",18,6,2,2,3338,5.39245056920312
"13101141003",7,1,1,0,4067,1.72117039586919
"13110031007",9,5,0,0,2062,4.364694471387
"13101161001",5,1,0,0,2637,1.89609404626469
"13112081006",0,0,0,0,3947,0
"13110091001",1,1,0,0,2990,0.334448160535117
"13110181001",5,1,0,0,4197,1.19132713843221
"13110171001",0,0,0,0,4566,0
"13110171002",1,0,1,0,3973,0.251698968034231
"13110171006",0,0,0,0,3797,0
"13110171003",7,0,1,0,3316,2.11097708082027
"13110121002",1,1,0,0,2473,0.404367165386171
"13110161003",10,1,1,0,3905,2.56081946222791
"13110161004",0,0,0,0,3444,0
"13110151004",0,0,0,0,2787,0
"13110151003",5,0,1,0,4320,1.15740740740741
"13112081008",0,0,0,0,3346,0
"13127111004",11,2,0,0,4248,2.5894538606403
"13127071004",0,0,0,0,2024,0
"13127071002",5,1,0,0,3092,1.61707632600259
"13110141006",0,0,0,0,2774,0
"13127081001",4,4,0,0,2817,1.41995030173944
"13112051010",1,1,0,0,4743,0.210837022981235
"13112051011",3,3,0,0,4829,0.621246634914061
"13112041003",0,0,0,0,3963,0
"13119121001",0,0,0,0,4652,0
"13110181003",0,0,0,0,2790,0
"13110061001",14,2,0,0,1837,7.62112139357648
"13110021003",0,0,0,0,799,0
"13110071003",0,0,0,0,2600,0
"13110031005",1,0,1,0,3453,0.289603243556328
"13110071004",1,1,0,0,5439,0.18385732671447
"13110181002",0,0,0,0,2559,0
"13110171005",0,0,0,0,2679,0
"13110211004",0,0,0,0,3585,0
"13122101002",0,0,0,0,3122,0
"13110201004",0,0,0,0,2437,0
"13122101001",0,0,0,0,2812,0
"13112051002",0,0,0,0,3516,0
"13110171004",12,3,1,0,2659,4.51297480255735
"13124071004",0,0,0,0,1467,0
"13101171002",0,0,0,0,3663,0
"13124071005",0,0,0,0,1245,0
"13124081001",0,0,0,0,1017,0
"13101111007",4,4,0,0,1859,2.15169445938677
"13101111009",1,1,0,0,3455,0.289435600578871
"13110101001",2,2,0,0,3193,0.626370184779205
"13101111018",3,2,1,0,2724,1.10132158590308
"13101111005",1,0,1,0,1960,0.510204081632653
"13110051002",1,0,1,0,3793,0.263643553915107
"13110051003",0,0,0,0,2112,0
"13110201005",0,0,0,0,2021,0
"13110161002",17,3,1,0,3911,4.34671439529532
"13110161001",0,0,0,0,2219,0
"13110051004",1,0,1,0,4489,0.222766763198931
"13127081003",4,3,0,1,2692,1.48588410104012
